,Shannon,ACE,Split,Sites,Compartment
1,9.043,2121.624,Total,h,BS
2,8.524,1981.57,Total,h,BS
3,8.527,2012.213,Total,h,BS
4,8.653,1966.515,Total,h,BS
5,8.672,2062.018,Total,n,BS
6,8.105,2048.145,Total,n,BS
7,8.445,2119.533,Total,n,BS
8,8.515,2017.542,Total,n,BS
9,8.464,2001.409,Total,d,BS
10,8.459,1807.425,Total,d,BS
11,8.514,1922.278,Total,d,BS
12,8.686,1816.012,Total,d,BS
13,8.628,1964.648,Total,k,BS
14,8.387,1983.329,Total,k,BS
15,8.56,2030.578,Total,k,BS
16,8.414,2018.495,Total,k,BS
17,7.899,1835.986,Total,s,BS
18,9.013,2060.563,Total,s,BS
19,9.136,2092.181,Total,s,BS
20,9.26,2168.678,Total,s,BS
21,6.664,1213.062,Total,h,RS
22,4.509,946.525,Total,h,RS
23,4.978,905.787,Total,h,RS
24,6.602,1172.516,Total,h,RS
25,6.57,988.877,Total,n,RS
26,5.966,1183.347,Total,n,RS
27,6.248,1226.055,Total,n,RS
28,6.493,1317.489,Total,n,RS
29,3.819,860.889,Total,d,RS
30,3.91,1018.254,Total,d,RS
31,4.212,1130.061,Total,d,RS
32,4.236,894.936,Total,d,RS
33,6.392,1243.036,Total,k,RS
34,6.234,1281.532,Total,k,RS
35,6.4,1042.855,Total,k,RS
36,3.525,1056.722,Total,k,RS
37,7.537,1807.85,Total,s,RS
38,6.632,1363.079,Total,s,RS
39,6.874,1497.024,Total,s,RS
40,6.748,1645.653,Total,s,RS
41,4.825,649.902,Total,h,R
42,4.315,848.85,Total,h,R
43,5.433,791.586,Total,h,R
44,6.776,838.858,Total,h,R
45,6.153,1190.689,Total,n,R
46,5.784,1148.097,Total,n,R
47,6.544,940.744,Total,n,R
48,6.51,952.222,Total,n,R
49,3.544,545.345,Total,d,R
50,3.297,540.924,Total,d,R
51,3.557,548.75,Total,d,R
52,3.773,1000.487,Total,d,R
53,6.78,1102.097,Total,k,R
54,6.883,1106.512,Total,k,R
55,4.059,1058.31,Total,k,R
56,6.628,1110.288,Total,k,R
57,5.008,919.943,Total,s,R
58,6.371,828.859,Total,s,R
59,6.931,1088.77,Total,s,R
60,5.897,987.491,Total,s,R
61,3.056,252.454,Total,h,S
62,4.688,345.541,Total,h,S
63,1.608,259.027,Total,h,S
64,3.252,364.335,Total,h,S
65,2.201,359.568,Total,n,S
66,2.999,368.617,Total,n,S
